[class] name=MPSGraph superclass=MPSGraphObject
[method] class=MPSGraph kind=instance selector=normalizationWithTensor:meanTensor:varianceTensor:gammaTensor:betaTensor:epsilon:name: types=@68@0:8@16@24@32@40@48f56@60
[method] class=MPSGraph kind=instance selector=quantizeTensor:scaleTensor:zeroPointTensor:dataType:axis:name: types=@60@0:8@16@24@32I40q44@52
[method] class=MPSGraph kind=instance selector=reshapeTensor:withShape:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=resizeBilinearWithTensor:sizeTensor:centerResult:alignCorners:name: types=@48@0:8@16@24B32B36@40
[method] class=MPSGraph kind=instance selector=runAsyncWithMTLCommandQueue:feeds:targetOperations:resultsDictionary:executionDescriptor: types=v56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=shapeOfTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=sliceTensor:dimension:start:length:name: types=@56@0:8@16Q24q32q40@48
[method] class=MPSGraph kind=instance selector=sliceTensor:starts:ends:strides:startMask:endMask:squeezeMask:name: types=@68@0:8@16@24@32@40I48I52I56@60
[method] class=MPSGraph kind=instance selector=spaceToDepth2DTensor:widthAxisTensor:heightAxisTensor:depthAxisTensor:blockSize:usePixelShuffleOrder:name: types=@68@0:8@16@24@32@40Q48B56@60
[method] class=MPSGraph kind=instance selector=transposeTensor:permute:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=GRUGradientsWithSourceTensor:recurrentWeight:sourceGradient:zState:outputFwd:inputWeight:bias:initState:descriptor:name: types=@96@0:8@16@24@32@40@48@56@64@72@80@88
[method] class=MPSGraph kind=instance selector=GRUWithSourceTensor:recurrentWeight:inputWeight:bias:descriptor:name: types=@64@0:8@16@24@32@40@48@56
[method] class=MPSGraph kind=instance selector=GRUWithSourceTensor:recurrentWeight:inputWeight:bias:initState:mask:secondaryBias:descriptor:name: types=@88@0:8@16@24@32@40@48@56@64@72@80
[method] class=MPSGraph kind=instance selector=HermiteanToRealFFTWithTensor:axes:descriptor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=L2NormPooling4DGradientWithGradientTensor:sourceTensor:descriptor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=LSTMGradientsWithSourceTensor:recurrentWeight:sourceGradient:zState:cellOutputFwd:descriptor:name: types=@72@0:8@16@24@32@40@48@56@64
[method] class=MPSGraph kind=instance selector=LSTMGradientsWithSourceTensor:recurrentWeight:sourceGradient:zState:cellOutputFwd:inputWeight:bias:initState:initCell:mask:descriptor:name: types=@112@0:8@16@24@32@40@48@56@64@72@80@88@96@104
[method] class=MPSGraph kind=instance selector=LSTMWithSourceTensor:recurrentWeight:initState:initCell:descriptor:name: types=@64@0:8@16@24@32@40@48@56
[method] class=MPSGraph kind=instance selector=LSTMWithSourceTensor:recurrentWeight:inputWeight:bias:initState:initCell:mask:peephole:descriptor:name: types=@96@0:8@16@24@32@40@48@56@64@72@80@88
[method] class=MPSGraph kind=instance selector=convolutionTranspose2DDataGradientWithIncomingGradientTensor:weightsTensor:outputShapeTensor:forwardConvolutionDescriptor:name: types=@56@0:8@16@24@32@40@48
[method] class=MPSGraph kind=instance selector=decompositionLUWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=logarithmBase10WithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=quantizedGatherWithUpdatesTensor:indicesTensor:scaleTensor:zeroPointTensor:minTensor:dequantDataType:axis:batchDimensions:name: types=@84@0:8@16@24@32@40@48I56Q60Q68@76
[method] class=MPSGraph kind=instance selector=sortWithTensor:axisTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=GRUGradientsWithSourceTensor:recurrentWeight:sourceGradient:zState:outputFwd:inputWeight:bias:descriptor:name: types=@88@0:8@16@24@32@40@48@56@64@72@80
[method] class=MPSGraph kind=instance selector=GRUGradientsWithSourceTensor:recurrentWeight:sourceGradient:zState:outputFwd:stateGradient:inputWeight:bias:initState:mask:secondaryBias:descriptor:name: types=@120@0:8@16@24@32@40@48@56@64@72@80@88@96@104@112
[method] class=MPSGraph kind=instance selector=GRUWithSourceTensor:recurrentWeight:inputWeight:bias:initState:descriptor:name: types=@72@0:8@16@24@32@40@48@56@64
[method] class=MPSGraph kind=instance selector=HammingDistanceWithPrimaryTensor:secondaryTensor:resultDataType:name: types=@44@0:8@16@24I32@36
[method] class=MPSGraph kind=instance selector=HermiteanToRealFFTWithTensor:axesTensor:descriptor:name: types=@48@0:8@16@24@32@40
[method] class=MPSGraph kind=instance selector=L2NormPooling4DWithSourceTensor:descriptor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=LSTMGradientsWithSourceTensor:recurrentWeight:sourceGradient:zState:cellOutputFwd:inputWeight:bias:initState:initCell:descriptor:name: types=@104@0:8@16@24@32@40@48@56@64@72@80@88@96
[method] class=MPSGraph kind=instance selector=LSTMGradientsWithSourceTensor:recurrentWeight:sourceGradient:zState:cellOutputFwd:stateGradient:cellGradient:inputWeight:bias:initState:initCell:mask:peephole:descriptor:name: types=@136@0:8@16@24@32@40@48@56@64@72@80@88@96@104@112@120@128
[method] class=MPSGraph kind=instance selector=LSTMWithSourceTensor:recurrentWeight:inputWeight:bias:initState:initCell:descriptor:name: types=@80@0:8@16@24@32@40@48@56@64@72
[method] class=MPSGraph kind=instance selector=broadcastGradientArgsForPrimaryTensor:withSecondaryTensor:name: types=@40@0:8@16@24@32
[method] class=MPSGraph kind=instance selector=leakyReLUWithTensor:alpha:name: types=@40@0:8@16d24@32
[method] class=MPSGraph kind=instance selector=absoluteErrorWithPrimaryTensor:secondaryTensor:reductionType:name: types=@48@0:8@16@24Q32@40
[method] class=MPSGraph kind=instance selector=absoluteSquareWithTensor:name: types=@32@0:8@16@24
[method] class=MPSGraph kind=instance selector=adamAssignWithInputVariableTensor:momentumVariableTensor:velocityVariableTensor:maximumVelocityVariableTensor:updates:name: types=@64@0:8@16@24@32@40@48@56
[method] class=MPSGraph kind=instance selector=adamUpdateWithCurrentLearningRateTensor:beta1Tensor:beta2Tensor:epsilonTensor:valuesTensor:momentumTensor:velocityTensor:maximumVelocityTensor:gradientTensor:name: types=@96@0:8@16@24@32@40@48@56@64@72@80@88
